district	street	housenumber	totalscore	all_infra	kindergarten	school	college	university	language_school	music_school	training	sports_centre	community_centre	playground	clinic
район Нагатино-Садовники	Нагатинская улица	32	57.96	f	27	16	4	1	1	0	1	6	1	87	9
район Покровское-Стрешнево	Малая Набережная улица	17/22	56.26	t	13	9	4	1	3	1	3	13	8	118	8
Ново-Переделкино	улица Скульптора Мухиной	3	52.39	f	28	17	0	0	1	1	1	2	1	132	7
район Филёвский Парк	Кастанаевская улица	4	52.32	t	14	13	2	3	1	2	3	7	6	118	14
район Северное Бутово	бульвар Дмитрия Донского	17	49.98	f	25	17	0	0	0	0	0	7	0	89	9
район Очаково-Матвеевское	Озёрная улица	17	45.54	t	15	12	1	3	1	2	3	4	3	145	9
поселение Московский	улица Зелёная Горка	1 к3	42.37	f	18	13	1	0	2	0	2	3	2	130	7
район Косино-Ухтомский	улица Руднёвка	3	41.89	f	19	10	1	1	1	0	2	7	0	86	3
район Северный	Дмитровское шоссе	169 к7	37.83	f	20	6	0	0	2	1	0	7	1	77	6
район Бирюлёво Восточное	6-я Радиальная улица	3 к1	33.64	f	17	8	4	0	0	0	0	3	1	61	3
район Метрогородок	Открытое шоссе	17 к1	33.61	f	18	7	3	4	0	0	0	0	1	58	3
поселение Внуковское	улица Анны Ахматовой	10	33.59	f	16	12	0	0	1	1	1	1	0	154	5
поселение Сосенское	Фитарёвская улица	19	27.23	f	13	8	0	0	0	0	0	3	2	117	6
район Некрасовка	улица Недорубова	25	23.92	f	13	9	0	0	1	0	0	0	0	90	2
поселение Воскресенское	Чечёрский проезд	122 к2	20.53	f	10	7	0	0	0	0	0	3	0	52	1
район Внуково	Спортивная улица	2/11	14.59	f	7	3	1	0	1	0	0	1	1	54	5
